frame60,ms,ring1InsetFraction,ring1Opacity,ring2InsetFraction,ring2Opacity,boundaryOpacity,reducedBoundaryOpacity
105,1750.0,0.1,0,0.1,0,0.047011,0.06
106,1766.6667,0.1,0,0.1,0,0.047414,0.06
107,1783.3333,0.1,0,0.1,0,0.047825,0.06
108,1800.0,0.1,0,0.1,0,0.048244,0.06
109,1816.6667,0.1,0,0.1,0,0.048672,0.06
110,1833.3333,0.1,0,0.1,0,0.049107,0.06
111,1850.0,0.1,0,0.1,0,0.04955,0.06
112,1866.6667,0.1,0,0.1,0,0.05,0.06
113,1883.3333,0.1,0,0.1,0,0.050457,0.06
114,1900.0,0.1,0,0.1,0,0.05092,0.06
115,1916.6667,0.1,0,0.1,0,0.05139,0.06
116,1933.3333,0.1,0,0.1,0,0.051865,0.06
117,1950.0,0.1,0,0.1,0,0.052346,0.06
118,1966.6667,0.1,0,0.1,0,0.052833,0.06
119,1983.3333,0.1,0,0.1,0,0.053324,0.06
120,2000.0,0.1,0,0.1,0,0.05382,0.06
121,2016.6667,0.1,0,0.1,0,0.05432,0.06
122,2033.3333,0.1,0,0.1,0,0.054824,0.06
123,2050.0,0.1,0,0.1,0,0.055331,0.06
124,2066.6667,0.1,0,0.1,0,0.055842,0.06
125,2083.3333,0.1,0,0.1,0,0.056355,0.06
126,2100.0,0.1,0,0.1,0,0.056871,0.06
127,2116.6667,0.1,0,0.1,0,0.057389,0.06
128,2133.3333,0.1,0,0.1,0,0.057909,0.06
129,2150.0,0.1,0,0.1,0,0.058431,0.06
130,2166.6667,0.1,0,0.1,0,0.058953,0.06
131,2183.3333,0.1,0,0.1,0,0.059476,0.06
132,2200.0,0.1,0,0.1,0,0.06,0.06
133,2216.6667,0.1,0,0.1,0,0.060524,0.06
134,2233.3333,0.1,0,0.1,0,0.061047,0.06
135,2250.0,0.1,0,0.1,0,0.061569,0.06
136,2266.6667,0.1,0,0.1,0,0.062091,0.06
137,2283.3333,0.1,0,0.1,0,0.062611,0.06
138,2300.0,0.1,0,0.1,0,0.063129,0.06
139,2316.6667,0.1,0,0.1,0,0.063645,0.06
140,2333.3333,0.1,0,0.1,0,0.064158,0.06
141,2350.0,0.1,0,0.1,0,0.064669,0.06
142,2366.6667,0.1,0,0.1,0,0.065176,0.06
143,2383.3333,0.1,0,0.1,0,0.06568,0.06
144,2400.0,0.1,0,0.1,0,0.06618,0.06
145,2416.6667,0.1,0,0.1,0,0.066676,0.06
146,2433.3333,0.1,0,0.1,0,0.067167,0.06
147,2450.0,0.1,0,0.1,0,0.067654,0.06
148,2466.6667,0.1,0,0.1,0,0.068135,0.06
149,2483.3333,0.1,0,0.1,0,0.06861,0.06
150,2500.0,0.1,0,0.1,0,0.06908,0.06
151,2516.6667,0.1,0,0.1,0,0.069543,0.06
152,2533.3333,0.1,0,0.1,0,0.07,0.06
153,2550.0,0.1,0,0.1,0,0.07045,0.06
154,2566.6667,0.1,0,0.1,0,0.070893,0.06
155,2583.3333,0.1,0,0.1,0,0.071328,0.06
156,2600.0,0.1,0,0.1,0,0.071756,0.06
157,2616.6667,0.1,0,0.1,0,0.072175,0.06
158,2633.3333,0.1,0,0.1,0,0.072586,0.06
159,2650.0,0.1,0,0.1,0,0.072989,0.06
160,2666.6667,0.1,0,0.1,0,0.073383,0.06
161,2683.3333,0.1,0,0.1,0,0.073767,0.06
162,2700.0,0.1,0,0.1,0,0.074142,0.06
163,2716.6667,0.1,0,0.1,0,0.074507,0.06
164,2733.3333,0.1,0,0.1,0,0.074863,0.06
165,2750.0,0.1,0,0.1,0,0.075208,0.06
166,2766.6667,0.1,0,0.1,0,0.075543,0.06
167,2783.3333,0.1,0,0.1,0,0.075867,0.06
168,2800.0,0.1,0,0.1,0,0.07618,0.06
169,2816.6667,0.1,0,0.1,0,0.076483,0.06
170,2833.3333,0.1,0,0.1,0,0.076773,0.06
171,2850.0,0.1,0,0.1,0,0.077053,0.06
172,2866.6667,0.1,0,0.1,0,0.077321,0.06
173,2883.3333,0.1,0,0.1,0,0.077576,0.06
174,2900.0,0.1,0,0.1,0,0.07782,0.06
175,2916.6667,0.1,0,0.1,0,0.078052,0.06
176,2933.3333,0.1,0,0.1,0,0.078271,0.06
177,2950.0,0.1,0,0.1,0,0.078478,0.06
178,2966.6667,0.1,0,0.1,0,0.078672,0.06
179,2983.3333,0.1,0,0.1,0,0.078853,0.06
180,3000.0,0.1,0,0.1,0,0.079021,0.06
181,3016.6667,0.1,0,0.1,0,0.079176,0.06
182,3033.3333,0.1,0,0.1,0,0.079319,0.06
183,3050.0,0.1,0,0.1,0,0.079447,0.06
184,3066.6667,0.1,0,0.1,0,0.079563,0.06
185,3083.3333,0.1,0,0.1,0,0.079665,0.06
186,3100.0,0.1,0,0.1,0,0.079754,0.06
187,3116.6667,0.1,0,0.1,0,0.079829,0.06
188,3133.3333,0.1,0,0.1,0,0.07989,0.06
189,3150.0,0.1,0,0.1,0,0.079938,0.06
190,3166.6667,0.1,0,0.1,0,0.079973,0.06
191,3183.3333,0.1,0,0.1,0,0.079993,0.06
192,3200.0,0.1,0,0.1,0,0.08,0.06
193,3216.6667,0.1,0,0.1,0,0.079993,0.06
194,3233.3333,0.1,0,0.1,0,0.079973,0.06
195,3250.0,0.1,0,0.1,0,0.079938,0.06
196,3266.6667,0.1,0,0.1,0,0.07989,0.06
197,3283.3333,0.1,0,0.1,0,0.079829,0.06
198,3300.0,0.1,0,0.1,0,0.079754,0.06
199,3316.6667,0.1,0,0.1,0,0.079665,0.06
200,3333.3333,0.1,0,0.1,0,0.079563,0.06
201,3350.0,0.1,0,0.1,0,0.079447,0.06
202,3366.6667,0.1,0,0.1,0,0.079319,0.06
203,3383.3333,0.1,0,0.1,0,0.079176,0.06
204,3400.0,0.1,0,0.1,0,0.079021,0.06
205,3416.6667,0.1,0,0.1,0,0.078853,0.06
