frame60,ms,peerTranslateY,ringRadius,ringAlpha,ctaAlpha,reducedContentAlpha
129,2150.0,0.0,104.0,0.0,1,1
130,2166.6667,0.0,104.0,0.0,1,1
131,2183.3333,0.0,104.0,0.0,1,1
132,2200.0,0.0,104.0,0.0,1,1
133,2216.6667,0.0,104.0,0.0,1,1
134,2233.3333,0.0,104.0,0.0,1,1
135,2250.0,0.0,104.0,0.0,1,1
136,2266.6667,0.0,104.0,0.0,1,1
137,2283.3333,0.0,104.0,0.0,1,1
138,2300.0,0.0,104.0,0.0,1,1
139,2316.6667,0.0,104.0,0.0,1,1
140,2333.3333,0.0,104.0,0.0,1,1
141,2350.0,0.0,104.0,0.0,1,1
142,2366.6667,0.0,104.0,0.0,1,1
143,2383.3333,0.0,104.0,0.0,1,1
144,2400.0,0.0,104.0,0.0,1,1
145,2416.6667,0.0,104.0,0.0,1,1
146,2433.3333,0.0,104.0,0.0,1,1
147,2450.0,0.0,104.0,0.0,1,1
148,2466.6667,0.0,104.0,0.0,1,1
149,2483.3333,0.0,104.0,0.0,1,1
150,2500.0,0.0,104.0,0.0,1,1
151,2516.6667,0.0,104.0,0.0,1,1
152,2533.3333,0.0,104.0,0.0,1,1
153,2550.0,0.0,104.0,0.0,1,1
154,2566.6667,0.0,104.0,0.0,1,1
155,2583.3333,0.0,104.0,0.0,1,1
156,2600.0,0.0,104.0,0.0,1,1
157,2616.6667,0.0,104.0,0.0,1,1
158,2633.3333,0.0,104.0,0.0,1,1
159,2650.0,0.0,104.0,0.0,1,1
160,2666.6667,0.0,104.0,0.0,1,1
161,2683.3333,0.0,104.0,0.0,1,1
162,2700.0,0.0,104.0,0.0,1,1
163,2716.6667,0.0,104.0,0.0,1,1
164,2733.3333,0.0,104.0,0.0,1,1
165,2750.0,0.0,104.0,0.0,1,1
166,2766.6667,0.0,104.0,0.0,1,1
167,2783.3333,0.0,104.0,0.0,1,1
168,2800.0,0.0,104.0,0.0,1,1
169,2816.6667,0.0,104.0,0.0,1,1
170,2833.3333,0.0,104.0,0.0,1,1
171,2850.0,0.0,104.0,0.0,1,1
172,2866.6667,0.0,104.0,0.0,1,1
173,2883.3333,0.0,104.0,0.0,1,1
174,2900.0,0.0,104.0,0.0,1,1
175,2916.6667,0.0,104.0,0.0,1,1
176,2933.3333,0.0,104.0,0.0,1,1
177,2950.0,0.0,104.0,0.0,1,1
178,2966.6667,0.0,104.0,0.0,1,1
179,2983.3333,0.0,104.0,0.0,1,1
180,3000.0,0.0,104.0,0.0,1,1
