frame60,ms,item0Y,item1Y,item2Y,item3Y,item4Y,item5Y,item0Alpha,item1Alpha,item2Alpha,item3Alpha,item4Alpha,item5Alpha,reducedAlpha
56,933.3333,5e-06,9e-06,1.4e-05,1.8e-05,1.5e-05,-1.2e-05,1,1,1,1,1,1,1
57,950.0,4e-06,7e-06,1.2e-05,1.7e-05,1.8e-05,4e-06,1,1,1,1,1,1,1
58,966.6667,3e-06,6e-06,1e-05,1.5e-05,1.9e-05,1.3e-05,1,1,1,1,1,1,1
59,983.3333,2e-06,4e-06,8e-06,1.3e-05,1.8e-05,1.7e-05,1,1,1,1,1,1,1
60,1000.0,2e-06,3e-06,6e-06,1.1e-05,1.6e-05,1.9e-05,1,1,1,1,1,1,1
61,1016.6667,1e-06,3e-06,5e-06,9e-06,1.4e-05,1.8e-05,1,1,1,1,1,1,1
62,1033.3333,1e-06,2e-06,4e-06,7e-06,1.2e-05,1.7e-05,1,1,1,1,1,1,1
63,1050.0,1e-06,1e-06,3e-06,5e-06,9e-06,1.5e-05,1,1,1,1,1,1,1
64,1066.6667,0.0,1e-06,2e-06,4e-06,8e-06,1.2e-05,1,1,1,1,1,1,1
65,1083.3333,0.0,1e-06,2e-06,3e-06,6e-06,1e-05,1,1,1,1,1,1,1
66,1100.0,0.0,0.0,1e-06,2e-06,5e-06,8e-06,1,1,1,1,1,1,1
67,1116.6667,0.0,0.0,1e-06,2e-06,4e-06,7e-06,1,1,1,1,1,1,1
68,1133.3333,0.0,0.0,0.0,1e-06,3e-06,5e-06,1,1,1,1,1,1,1
69,1150.0,-0.0,0.0,0.0,1e-06,2e-06,4e-06,1,1,1,1,1,1,1
70,1166.6667,-0.0,0.0,0.0,1e-06,1e-06,3e-06,1,1,1,1,1,1,1
71,1183.3333,-0.0,0.0,0.0,0.0,1e-06,2e-06,1,1,1,1,1,1,1
72,1200.0,-0.0,-0.0,0.0,0.0,1e-06,2e-06,1,1,1,1,1,1,1
73,1216.6667,-0.0,-0.0,0.0,0.0,0.0,1e-06,1,1,1,1,1,1,1
74,1233.3333,-0.0,-0.0,-0.0,0.0,0.0,1e-06,1,1,1,1,1,1,1
75,1250.0,-0.0,-0.0,-0.0,0.0,0.0,1e-06,1,1,1,1,1,1,1
76,1266.6667,-0.0,-0.0,-0.0,0.0,0.0,0.0,1,1,1,1,1,1,1
77,1283.3333,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,1,1,1,1,1,1
78,1300.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,1,1,1,1,1,1
79,1316.6667,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1,1,1,1,1,1
80,1333.3333,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1,1,1,1,1,1,1
81,1350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,1,1,1,1,1,1
82,1366.6667,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,1,1,1,1,1,1
83,1383.3333,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,1,1,1,1,1,1
84,1400,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,1,1,1,1,1,1
